Name;Country;Lineage;Drug;Collected_Date
SRR4033533;South Africa;lineage 4;Sensitive;2013-06
SRR4033534;South Africa;lineage 2;Sensitive;2013-01
SRR4033535;South Africa;lineage 4;Sensitive;2013-06
SRR4033536;South Africa;lineage 4;Sensitive;2013-06
SRR4033537;South Africa;lineage 4;Sensitive;2013-06
SRR4033538;South Africa;lineage 4;Sensitive;2013-06
SRR4033539;South Africa;lineage 4;Sensitive;2013-06
SRR4033540;South Africa;lineage 4;Sensitive;2013-06
SRR4033541;South Africa;lineage 4;Sensitive;2013-06
SRR4033542;South Africa;lineage 4;Sensitive;2013-06
SRR4033543;South Africa;lineage 4;Sensitive;2013-06
SRR4033545;South Africa;lineage 2;Sensitive;2013-01
SRR4033546;South Africa;lineage 2;Sensitive;2013-01
SRR4033547;South Africa;lineage 2;Sensitive;2013-01
SRR4033548;South Africa;lineage 2;Sensitive;2013-01
SRR4033550;South Africa;lineage 2;Sensitive;2013-01
SRR4033551;South Africa;lineage 2;Sensitive;2013-01
SRR4033552;South Africa;lineage 2;Sensitive;2013-01
SRR4033553;South Africa;lineage 4;Sensitive;2013-01
SRR4033554;South Africa;lineage 4;Sensitive;2013-01
SRR4033555;South Africa;lineage 4;Sensitive;2012-09
SRR4033556;South Africa;lineage 4;Sensitive;2013-01
SRR4033557;South Africa;lineage 4;Sensitive;2013-01
SRR4033558;South Africa;lineage 4;Sensitive;2013-01
SRR4033559;South Africa;lineage 4;Sensitive;2013-01
SRR4033560;South Africa;lineage 4;Sensitive;2013-01
SRR4033561;South Africa;lineage 4;Sensitive;2013-01
SRR4033562;South Africa;lineage 4;Sensitive;2013-01
SRR4033563;South Africa;lineage 4;Sensitive;2013-01
SRR4033564;South Africa;lineage 4;Sensitive;2013-01
SRR4033565;South Africa;lineage 4;Sensitive;2013-01
SRR4033566;South Africa;lineage 4;Sensitive;2012-09
SRR4033567;South Africa;lineage 4;Sensitive;2013-01
SRR4033568;South Africa;lineage 4;Sensitive;2013-01
SRR4033569;South Africa;lineage 4;Sensitive;2013-01
SRR4033570;South Africa;lineage 4;Sensitive;2013-01
SRR4033571;South Africa;lineage 4;Sensitive;2013-01
SRR4033572;South Africa;lineage 4;Sensitive;2013-01
SRR4033573;South Africa;lineage 4;Sensitive;2013-01
SRR4033574;South Africa;lineage 4;Sensitive;2013-01
SRR4033575;South Africa;lineage 4;Sensitive;2013-01
SRR4033576;South Africa;lineage 4;Sensitive;2013-01
SRR4033577;South Africa;lineage 4;Sensitive;2012-09
SRR4033578;South Africa;lineage 4;Sensitive;2013-01
SRR4033579;South Africa;lineage 4;Sensitive;2013-01
SRR4033580;South Africa;lineage 4;Sensitive;2013-01
SRR4033581;South Africa;lineage 4;Sensitive;2013-01
SRR4033582;South Africa;lineage 4;Sensitive;2013-01
SRR4033583;South Africa;lineage 4;Sensitive;2013-01
SRR4033584;South Africa;lineage 4;Sensitive;2013-01
SRR4033585;South Africa;lineage 4;Sensitive;2013-01
SRR4033586;South Africa;lineage 4;Sensitive;2013-01
SRR4033587;South Africa;lineage 4;Sensitive;2013-01
SRR4033588;South Africa;lineage 2;Sensitive;2012-10
SRR4033589;South Africa;lineage 4;Sensitive;2013-01
SRR4033590;South Africa;lineage 4;Sensitive;2013-01
SRR4033591;South Africa;lineage 4;Sensitive;2013-01
SRR4033592;South Africa;lineage 4;Sensitive;2013-01
SRR4033593;South Africa;lineage 4;Sensitive;2013-01
SRR4033594;South Africa;lineage 4;Sensitive;2013-01
SRR4033595;South Africa;lineage 4;Sensitive;2013-01
SRR4033596;South Africa;lineage 4;Sensitive;2013-01
SRR4033597;South Africa;lineage 4;Sensitive;2013-01
SRR4033598;South Africa;lineage 4;Sensitive;2013-01
SRR4033605;South Africa;lineage 4;Sensitive;2013-08
SRR4033606;South Africa;lineage 4;Sensitive;2013-08
SRR4033607;South Africa;lineage 4;Sensitive;2013-08
SRR4033608;South Africa;lineage 2;Sensitive;2013-09
SRR4033609;South Africa;lineage 2;Sensitive;2013-09
SRR4033610;South Africa;lineage 2;Sensitive;2013-09
SRR4033611;South Africa;lineage 2;Sensitive;2013-09
SRR4033612;South Africa;lineage 2;Sensitive;2013-09
SRR4033613;South Africa;lineage 2;Sensitive;2013-09
SRR4033614;South Africa;lineage 2;Sensitive;2013-09
SRR4033615;South Africa;lineage 2;Sensitive;2013-09
SRR4033616;South Africa;lineage 2;Sensitive;2013-09
SRR4033617;South Africa;lineage 2;Sensitive;2013-09
SRR4033618;South Africa;lineage 4;Sensitive;2013-08
SRR4033619;South Africa;lineage 2;Sensitive;2013-09
SRR4033620;South Africa;lineage 2;Sensitive;2013-09
SRR4033621;South Africa;lineage 2;Sensitive;2013-09
SRR4033622;South Africa;lineage 2;Sensitive;2013-09
SRR4033623;South Africa;lineage 2;Sensitive;2013-09
SRR4033624;South Africa;lineage 4;Sensitive;2013-09
SRR4033625;South Africa;lineage 4;Sensitive;2013-09
SRR4033626;South Africa;lineage 4;Sensitive;2013-09
SRR4033627;South Africa;lineage 4;Sensitive;2013-09
SRR4033628;South Africa;lineage 4;Sensitive;2013-09
SRR4033629;South Africa;lineage 4;Sensitive;2013-08
SRR4033630;South Africa;lineage 4;Sensitive;2013-09
SRR4033631;South Africa;lineage 4;Sensitive;2013-09
SRR4033648;South Africa;lineage 4;Sensitive;2013-09
SRR4033649;South Africa;lineage 4;Sensitive;2013-09
SRR4033650;South Africa;lineage 4;Sensitive;2013-09
SRR4033651;South Africa;lineage 4;Sensitive;2013-09
SRR4033652;South Africa;lineage 4;Sensitive;2013-09
SRR4033653;South Africa;lineage 4;Sensitive;2013-09
SRR4033654;South Africa;lineage 4;Sensitive;2013-09
SRR4033655;South Africa;lineage 4;Sensitive;2013-09
SRR4033656;South Africa;lineage 4;Sensitive;2013-08
SRR4033657;South Africa;lineage 4;Sensitive;2013-09
SRR4033658;South Africa;lineage 4;Sensitive;2013-09
SRR4033659;South Africa;lineage 4;Sensitive;2013-09
SRR4033660;South Africa;lineage 4;Sensitive;2013-09
SRR4033661;South Africa;lineage 4;Sensitive;2013-09
SRR4033662;South Africa;lineage 4;Sensitive;2013-09
SRR4033663;South Africa;lineage 4;Sensitive;2013-09
SRR4033664;South Africa;lineage 4;Sensitive;2013-09
SRR4033665;South Africa;lineage 4;Sensitive;2013-09
SRR4033666;South Africa;lineage 4;Sensitive;2013-09
SRR4033667;South Africa;lineage 4;Sensitive;2013-08
SRR4033668;South Africa;lineage 4;Sensitive;2013-09
SRR4033669;South Africa;lineage 4;Sensitive;2013-09
SRR4033670;South Africa;lineage 4;Sensitive;2013-09
SRR4033671;South Africa;lineage 4;Sensitive;2013-09
SRR4033672;South Africa;lineage 4;Sensitive;2013-09
SRR4033673;South Africa;lineage 4;Sensitive;2013-09
SRR4033674;South Africa;lineage 4;Sensitive;2013-09
SRR4033675;South Africa;lineage 4;Sensitive;2013-09
SRR4033676;South Africa;lineage 4;Sensitive;2013-09
SRR4033677;South Africa;lineage 4;Sensitive;2013-09
SRR4033678;South Africa;lineage 4;Sensitive;2013-08
SRR4033679;South Africa;lineage 4;Sensitive;2013-09
SRR4033680;South Africa;lineage 4;Sensitive;2013-09
SRR4033681;South Africa;lineage 4;Sensitive;2013-09
SRR4033682;South Africa;lineage 4;Sensitive;2013-09
SRR4033683;South Africa;lineage 4;Sensitive;2013-09
SRR4033684;South Africa;lineage 4;Sensitive;2013-09
SRR4033685;South Africa;lineage 4;Sensitive;2013-09
SRR4033686;South Africa;lineage 4;Sensitive;2013-09
SRR4033687;South Africa;lineage 4;Sensitive;2013-09
SRR4033688;South Africa;lineage 4;Sensitive;2013-09
SRR4033689;South Africa;lineage 4;Sensitive;2013-08
SRR4033690;South Africa;lineage 4;Sensitive;2013-09
SRR4033691;South Africa;lineage 4;Sensitive;2013-09
SRR4033692;South Africa;lineage 4;Sensitive;2013-09
SRR4033693;South Africa;lineage 4;Sensitive;2013-09
SRR4033694;South Africa;lineage 4;Sensitive;2013-09
SRR4033695;South Africa;lineage 4;Sensitive;2013-09
SRR4033696;South Africa;lineage 4;Sensitive;2013-09
